"requested_name","available","original_stata_name"
"r7hibpe",TRUE,"r7hibpe"
"r7hearte",TRUE,"r7hearte"
"r7stroke",TRUE,"r7stroke"
"r7lunge",TRUE,"r7lunge"
"r7cancre",TRUE,"r7cancre"
"r7arthre",TRUE,"r7arthre"
"r7psyche",TRUE,"r7psyche"
"r7smokev",TRUE,"r7smokev"
"r7smoken",TRUE,"r7smoken"
"r7drinkd",TRUE,"r7drinkd"
"r7drinkr",FALSE,NA
"r7cesd",TRUE,"r7cesd"
"r7cog27",TRUE,"r7cog27"
"r7adl5a",TRUE,"r7adl5a"
"r7higov",TRUE,"r7higov"
"r8agey_e",TRUE,"r8agey_e"
"r8iwstat",TRUE,"r8iwstat"
"r8bmi",TRUE,"r8bmi"
"r8wtresp",TRUE,"r8wtresp"
"r8mstat",TRUE,"r8mstat"
"r8shlt",TRUE,"r8shlt"
"r8diab",TRUE,"r8diab"
"r8diabe",TRUE,"r8diabe"
"r8hibpe",TRUE,"r8hibpe"
"r8hearte",TRUE,"r8hearte"
"r8stroke",TRUE,"r8stroke"
"r8lunge",TRUE,"r8lunge"
"r8cancre",TRUE,"r8cancre"
"r8arthre",TRUE,"r8arthre"
"r8psyche",TRUE,"r8psyche"
"r8smokev",TRUE,"r8smokev"
"r8smoken",TRUE,"r8smoken"
"r8drinkd",TRUE,"r8drinkd"
"r8drinkr",FALSE,NA
"r8cesd",TRUE,"r8cesd"
"r8cog27",TRUE,"r8cog27"
"r8adl5a",TRUE,"r8adl5a"
"r8higov",TRUE,"r8higov"
"r9agey_e",TRUE,"r9agey_e"
"r9iwstat",TRUE,"r9iwstat"
"r9bmi",TRUE,"r9bmi"
"r9wtresp",TRUE,"r9wtresp"
"r9mstat",TRUE,"r9mstat"
"r9shlt",TRUE,"r9shlt"
"r9diab",TRUE,"r9diab"
"r9diabe",TRUE,"r9diabe"
"r9hibpe",TRUE,"r9hibpe"
"r9hearte",TRUE,"r9hearte"
"r9stroke",TRUE,"r9stroke"
"r9lunge",TRUE,"r9lunge"
"r9cancre",TRUE,"r9cancre"
"r9arthre",TRUE,"r9arthre"
"r9psyche",TRUE,"r9psyche"
"r9smokev",TRUE,"r9smokev"
"r9smoken",TRUE,"r9smoken"
"r9drinkd",TRUE,"r9drinkd"
"r9drinkr",FALSE,NA
"r9cesd",TRUE,"r9cesd"
"r9cog27",TRUE,"r9cog27"
"r9adl5a",TRUE,"r9adl5a"
"r9higov",TRUE,"r9higov"
"r10agey_e",TRUE,"r10agey_e"
"r10iwstat",TRUE,"r10iwstat"
"r10bmi",TRUE,"r10bmi"
"r10wtresp",TRUE,"r10wtresp"
"r10mstat",TRUE,"r10mstat"
"r10shlt",TRUE,"r10shlt"
"r10diab",TRUE,"r10diab"
"r10diabe",TRUE,"r10diabe"
"r10hibpe",TRUE,"r10hibpe"
"r10hearte",TRUE,"r10hearte"
"r10stroke",TRUE,"r10stroke"
"r10lunge",TRUE,"r10lunge"
"r10cancre",TRUE,"r10cancre"
"r10arthre",TRUE,"r10arthre"
"r10psyche",TRUE,"r10psyche"
"r10smokev",TRUE,"r10smokev"
"r10smoken",TRUE,"r10smoken"
"r10drinkd",TRUE,"r10drinkd"
"r10drinkr",FALSE,NA
"r10cesd",TRUE,"r10cesd"
"r10cog27",TRUE,"r10cog27"
"r10adl5a",TRUE,"r10adl5a"
"r10higov",TRUE,"r10higov"
"r11agey_e",TRUE,"r11agey_e"
"r11iwstat",TRUE,"r11iwstat"
"r11bmi",TRUE,"r11bmi"
"r11wtresp",TRUE,"r11wtresp"
"r11mstat",TRUE,"r11mstat"
"r11shlt",TRUE,"r11shlt"
"r11diab",TRUE,"r11diab"
"r11diabe",TRUE,"r11diabe"
"r11hibpe",TRUE,"r11hibpe"
"r11hearte",TRUE,"r11hearte"
"r11stroke",TRUE,"r11stroke"
"r11lunge",TRUE,"r11lunge"
"r11cancre",TRUE,"r11cancre"
"r11arthre",TRUE,"r11arthre"
"r11psyche",TRUE,"r11psyche"
"r11smokev",TRUE,"r11smokev"
"r11smoken",TRUE,"r11smoken"
"r11drinkd",TRUE,"r11drinkd"
"r11drinkr",FALSE,NA
"r11cesd",TRUE,"r11cesd"
"r11cog27",TRUE,"r11cog27"
"r11adl5a",TRUE,"r11adl5a"
"r11higov",TRUE,"r11higov"
"r12agey_e",TRUE,"r12agey_e"
"r12iwstat",TRUE,"r12iwstat"
"r12bmi",TRUE,"r12bmi"
"r12wtresp",TRUE,"r12wtresp"
"r12mstat",TRUE,"r12mstat"
"r12shlt",TRUE,"r12shlt"
"r12diab",TRUE,"r12diab"
"r12diabe",TRUE,"r12diabe"
"r12hibpe",TRUE,"r12hibpe"
"r12hearte",TRUE,"r12hearte"
"r12stroke",TRUE,"r12stroke"
"r12lunge",TRUE,"r12lunge"
"r12cancre",TRUE,"r12cancre"
"r12arthre",TRUE,"r12arthre"
"r12psyche",TRUE,"r12psyche"
"r12smokev",TRUE,"r12smokev"
"r12smoken",TRUE,"r12smoken"
"r12drinkd",TRUE,"r12drinkd"
"r12drinkr",FALSE,NA
"r12cesd",TRUE,"r12cesd"
"r12cog27",TRUE,"r12cog27"
"r12adl5a",TRUE,"r12adl5a"
"r12higov",TRUE,"r12higov"
"r13agey_e",TRUE,"r13agey_e"
"r13iwstat",TRUE,"r13iwstat"
"r13bmi",TRUE,"r13bmi"
"r13wtresp",TRUE,"r13wtresp"
"r13mstat",TRUE,"r13mstat"
"r13shlt",TRUE,"r13shlt"
"r13diab",TRUE,"r13diab"
"r13diabe",TRUE,"r13diabe"
"r13hibpe",TRUE,"r13hibpe"
"r13hearte",TRUE,"r13hearte"
"r13stroke",TRUE,"r13stroke"
"r13lunge",TRUE,"r13lunge"
"r13cancre",TRUE,"r13cancre"
"r13arthre",TRUE,"r13arthre"
"r13psyche",TRUE,"r13psyche"
"r13smokev",TRUE,"r13smokev"
"r13smoken",TRUE,"r13smoken"
"r13drinkd",TRUE,"r13drinkd"
"r13drinkr",FALSE,NA
"r13cesd",TRUE,"r13cesd"
"r13cog27",TRUE,"r13cog27"
"r13adl5a",TRUE,"r13adl5a"
"r13higov",TRUE,"r13higov"
"r14agey_e",TRUE,"r14agey_e"
"r14iwstat",TRUE,"r14iwstat"
"r14bmi",TRUE,"r14bmi"
"r14wtresp",TRUE,"r14wtresp"
"r14mstat",TRUE,"r14mstat"
"r14shlt",TRUE,"r14shlt"
"r14diab",TRUE,"r14diab"
"r14diabe",TRUE,"r14diabe"
"r14hibpe",TRUE,"r14hibpe"
"r14hearte",TRUE,"r14hearte"
"r14stroke",TRUE,"r14stroke"
"r14lunge",TRUE,"r14lunge"
"r14cancre",TRUE,"r14cancre"
"r14arthre",TRUE,"r14arthre"
"r14psyche",TRUE,"r14psyche"
"r14smokev",TRUE,"r14smokev"
"r14smoken",TRUE,"r14smoken"
"r14drinkd",TRUE,"r14drinkd"
"r14drinkr",FALSE,NA
"r14cesd",TRUE,"r14cesd"
"r14cog27",TRUE,"r14cog27"
"r14adl5a",TRUE,"r14adl5a"
"r14higov",TRUE,"r14higov"
"r15agey_e",TRUE,"r15agey_e"
"r15iwstat",TRUE,"r15iwstat"
"r15bmi",TRUE,"r15bmi"
"r15wtresp",TRUE,"r15wtresp"
"r15mstat",TRUE,"r15mstat"
"r15shlt",TRUE,"r15shlt"
"r15diab",TRUE,"r15diab"
"r15diabe",TRUE,"r15diabe"
"r15hibpe",TRUE,"r15hibpe"
"r15hearte",TRUE,"r15hearte"
"r15stroke",TRUE,"r15stroke"
"r15lunge",TRUE,"r15lunge"
"r15cancre",TRUE,"r15cancre"
"r15arthre",TRUE,"r15arthre"
"r15psyche",TRUE,"r15psyche"
"r15smokev",TRUE,"r15smokev"
"r15smoken",TRUE,"r15smoken"
"r15drinkd",TRUE,"r15drinkd"
"r15drinkr",FALSE,NA
"r15cesd",TRUE,"r15cesd"
"r15cog27",TRUE,"r15cog27"
"r15adl5a",TRUE,"r15adl5a"
"r15higov",TRUE,"r15higov"
"r16agey_e",TRUE,"r16agey_e"
"r16iwstat",TRUE,"r16iwstat"
"r16bmi",TRUE,"r16bmi"
"r16wtresp",TRUE,"r16wtresp"
"r16mstat",TRUE,"r16mstat"
"r16shlt",TRUE,"r16shlt"
"r16diab",TRUE,"r16diab"
"r16diabe",TRUE,"r16diabe"
"r16hibpe",TRUE,"r16hibpe"
"r16hearte",TRUE,"r16hearte"
"r16stroke",TRUE,"r16stroke"
"r16lunge",TRUE,"r16lunge"
"r16cancre",TRUE,"r16cancre"
"r16arthre",TRUE,"r16arthre"
"r16psyche",TRUE,"r16psyche"
"r16smokev",TRUE,"r16smokev"
"r16smoken",TRUE,"r16smoken"
"r16drinkd",TRUE,"r16drinkd"
"r16drinkr",FALSE,NA
"r16cesd",TRUE,"r16cesd"
"r16cog27",FALSE,NA
"r16adl5a",TRUE,"r16adl5a"
"r16higov",TRUE,"r16higov"
"h1atotb",TRUE,"h1atotb"
"h1itot",TRUE,"h1itot"
"h2atotb",TRUE,"h2atotb"
"h2itot",TRUE,"h2itot"
"h3atotb",TRUE,"h3atotb"
"h3itot",TRUE,"h3itot"
"h4atotb",TRUE,"h4atotb"
"h4itot",TRUE,"h4itot"
"h5atotb",TRUE,"h5atotb"
"h5itot",TRUE,"h5itot"
"h6atotb",TRUE,"h6atotb"
"h6itot",TRUE,"h6itot"
"h7atotb",TRUE,"h7atotb"
"h7itot",TRUE,"h7itot"
"h8atotb",TRUE,"h8atotb"
"h8itot",TRUE,"h8itot"
"h9atotb",TRUE,"h9atotb"
"h9itot",TRUE,"h9itot"
"h10atotb",TRUE,"h10atotb"
"h10itot",TRUE,"h10itot"
"h11atotb",TRUE,"h11atotb"
"h11itot",TRUE,"h11itot"
"h12atotb",TRUE,"h12atotb"
"h12itot",TRUE,"h12itot"
"h13atotb",TRUE,"h13atotb"
"h13itot",TRUE,"h13itot"
"h14atotb",TRUE,"h14atotb"
"h14itot",TRUE,"h14itot"
"h15atotb",TRUE,"h15atotb"
"h15itot",TRUE,"h15itot"
"h16atotb",TRUE,"h16atotb"
"h16itot",TRUE,"h16itot"
