"s","t","mu_weighted","mu_unweighted","simultaneous_lower","simultaneous_upper","simultaneous_excludes_zero"
53,64.25,-0.00804583016004419,-0.0350701863762277,-0.0371240470504927,0.0210323867304043,0
53.25,64.25,-0.00800729268495255,-0.0350095073599628,-0.0368894719766223,0.0208748866067173,0
53.5,64.25,-0.00794297546757147,-0.0348641813950393,-0.0365597695046592,0.0206738185695163,0
53.75,64.25,-0.00784507230399337,-0.0346086112171453,-0.0361035454394632,0.0204134008314764,0
54,64.25,-0.00770587025086489,-0.034217496608825,-0.0354896349442788,0.0200778944425491,0
54.25,64.25,-0.00731649310991859,-0.0330231201693809,-0.0338383063271931,0.0192053201073559,0
54.5,64.25,-0.00687184564792599,-0.0316472704942032,-0.0319763756814506,0.0182326843855986,0
54.75,64.25,-0.0063648035419704,-0.0300666600607999,-0.0298756841855593,0.0171460771016185,0
55,64.25,-0.00578953125065616,-0.0282622113564877,-0.0275125092868606,0.0159334467855483,0
55.25,64.25,-0.00513842267902664,-0.0262102790473295,-0.0248573803198698,0.0145805349618166,0
55.5,64.25,-0.00441175169174473,-0.0239104801721698,-0.0219089197504393,0.0130854163669499,0
55.75,64.25,-0.00361123790897626,-0.0213681422540324,-0.0186761545676271,0.0114536787496746,0
56,64.25,-0.00274440738135233,-0.0186075294270019,-0.0151983375666004,0.00970952280389571,0
56.25,64.25,-0.00182310331928799,-0.0156672314802962,-0.0115494968535602,0.00790329021498424,0
56.5,64.25,-0.000860243717731102,-0.0125894313600222,-0.00785759932099829,0.00613711188553608,0
56.75,64.25,0.000130503807539283,-0.00941882686864687,-0.00444714637158979,0.00470815398666835,0
57,64.25,0.00113376814775192,-0.00620555953080999,-0.00239335186517975,0.00466088816068358,0
57.25,64.25,0.00213218294797385,-0.00300605281408381,-0.00277582742835834,0.00704019332430604,0
57.5,64.25,0.00310865851953777,0.000124174280314358,-0.00432118152610525,0.0105384985651808,0
57.75,64.25,0.00404719506406194,0.00313315773225741,-0.00614058869566278,0.0142349788237867,0
58,64.25,0.00493257776957719,0.00597159042116019,-0.00797865893602834,0.0178438144751827,0
58.25,64.25,0.00574994342725805,0.00859144012249119,-0.00973506405146022,0.0212349509059763,0
58.5,64.25,0.00648530838082239,0.0109475028400948,-0.0113520345627939,0.0243226513244387,0
58.75,64.25,0.00712932954685022,0.0130099313226271,-0.0127968752257747,0.0270555343194752,0
59,64.25,0.00767905444385957,0.0147696687779402,-0.0140570145800805,0.0294151234677997,0
59.25,64.25,0.00813610069019696,0.0162322673370911,-0.0151319962448872,0.0314041976252811,0
59.5,64.25,0.00850660383804569,0.0174177302161612,-0.0160336989229711,0.0330469065990625,0
59.75,64.25,0.00879808111634703,0.0183503353253998,-0.0167775075224145,0.0343736697551085,0
60,64.25,0.00901944927659525,0.0190587394030239,-0.0173821895782632,0.0354210881314537,0
60.25,64.25,0.00911424605706618,0.0193670974379485,-0.0177154015675135,0.0359438936816458,0
60.5,64.25,0.00915597346369099,0.0195058946381935,-0.0179453454047128,0.0362572923320948,0
60.75,64.25,0.00915415425117398,0.0195056416547294,-0.0180928046609331,0.036401113163281,0
61,64.25,0.00911836057594112,0.0193970066653416,-0.0181784806902371,0.0364152018421194,0
61.25,64.25,0.00895863785432967,0.0188880756842318,-0.0179708217695153,0.0358880974781746,0
61.5,64.25,0.00878068867742573,0.0183209551111586,-0.0177280347955924,0.0352894121504438,0
61.75,64.25,0.00859037513370236,0.017714370650967,-0.0174619621186126,0.0346427123860173,0
62,64.25,0.0083935593116327,0.0170870480085025,-0.0171843956956513,0.0339715143189167,0
52,64.5,-0.0086663485381402,-0.0349334090347255,-0.0365640903550161,0.0192313932787357,0
52.25,64.5,-0.0087672831480464,-0.0352733248537605,-0.036881883914325,0.0193473176182322,0
52.5,64.5,-0.00886224495565974,-0.035595147851027,-0.0371802947123417,0.0194558048010222,0
52.75,64.5,-0.0089466491556483,-0.0358848522765669,-0.0374434285995256,0.019550130288229,0
53,64.5,-0.00901591094267998,-0.0361284123804215,-0.0376553286253524,0.0196235067399925,0
53.25,64.5,-0.00897389163186306,-0.0360647855536049,-0.0374214474704348,0.0194736642067087,0
53.5,64.5,-0.00890328522133085,-0.0359136690446757,-0.0370910213121187,0.019284450869457,0
53.75,64.5,-0.0087954357993782,-0.0356486054738959,-0.0366319556222415,0.0190410840234851,0
54,64.5,-0.0086417907711814,-0.0352434446109553,-0.0360123896524695,0.0187288081101067,0
54.25,64.5,-0.00821092445994218,-0.0340077944369268,-0.0343490139874866,0.0179271650676022,0
54.5,64.5,-0.00771876906590863,-0.0325845764664061,-0.0324708282998015,0.0170332901679842,0
54.75,64.5,-0.00715742558225094,-0.030949719652087,-0.0303488302930727,0.0160339791285708,0
55,64.5,-0.00652042389401962,-0.0290835046422986,-0.0279585591134954,0.0149177113254562,0
55.25,64.5,-0.00579934404437003,-0.0269614736478634,-0.0252697723411808,0.0136710842524407,0
55.5,64.5,-0.0049944758045031,-0.0245832485634042,-0.0222807513915429,0.0122917997825367,0
55.75,64.5,-0.00410772259729346,-0.0219543402333645,-0.0190003589746479,0.010784913780061,0
56,64.5,-0.00314742518765417,-0.0190998338464548,-0.0154682431757686,0.00917339280046026,0
56.25,64.5,-0.00212671326195449,-0.0160596192727154,-0.0117594258311022,0.00750599930719322,0
56.5,64.5,-0.00105990902890924,-0.0128772993233244,-0.00800323424721939,0.00588341618940092,0
56.75,64.5,3.78334691798449e-05,-0.00959907538402231,-0.00452504408618104,0.00460071102454073,0
57,64.5,0.00114947281456344,-0.00627677744920568,-0.0023842031957939,0.00468314882492078,0
57.25,64.5,0.00225575798925441,-0.00296873214755507,-0.00263369948905576,0.00714521546756458,0
57.5,64.5,0.00333774472691744,0.00026766878836696,-0.00403997456574205,0.0107154640195769,0
57.75,64.5,0.00437769708159758,0.00337870832211549,-0.00572824610330676,0.0144836402665019,0
58,64.5,0.00535875043909118,0.00631341444710927,-0.00744455828160709,0.0181620591597895,0
58.25,64.5,0.00626443138416003,0.00902213120427024,-0.00908976828136659,0.0216186310496866,0
58.5,64.5,0.00707924118689049,0.0114581266701222,-0.0106074429382891,0.02476592531207,0
58.75,64.5,0.00779282833628909,0.0135905397456631,-0.0119659064289736,0.0275515631015517,0
59,64.5,0.00840192575239527,0.0154100006707681,-0.0131529088820773,0.0299567603868678,0
59.25,64.5,0.00890832982154537,0.0169222447096121,-0.0141676692380394,0.0319843288811301,0
59.5,64.5,0.00931884269557278,0.0181479488259345,-0.0150211843041119,0.0336588696952575,0
59.75,64.5,0.00964179582095413,0.0191122118566646,-0.0157277806885573,0.0350113723304655,0
60,64.5,0.00988707022223387,0.0198446615136624,-0.016305020979407,0.0360791614238748,0
60.25,64.5,0.00999215864325602,0.0201634153922946,-0.0166301831510266,0.0366145004375386,0
60.5,64.5,0.0100384494647004,0.0203068491893288,-0.0168596281580863,0.0369365270874871,0
60.75,64.5,0.0100364942319245,0.0203065086676382,-0.0170128719815345,0.0370858604453835,0
61,64.5,0.0099968992209272,0.0201941024718962,-0.0171093301791773,0.0371031286210317,0
61.25,64.5,0.00981995142588816,0.019667865491261,-0.0169286031688655,0.0365685060206418,0
61.5,64.5,0.00962281033274257,0.0190814618260793,-0.0167153461832662,0.0359609668487513,0
61.75,64.5,0.0094119707298543,0.0184542532709071,-0.0164805741203657,0.0353045155800744,0
62,64.5,0.0091939274055873,0.0178056016203005,-0.0162352505793213,0.0346231053904959,0
52,64.75,-0.00956121120203072,-0.0359115256680205,-0.0370853272976157,0.0179629048935543,0
52.25,64.75,-0.00967193314584512,-0.0362616160035141,-0.0374066000827282,0.0180627337910379,0
52.5,64.75,-0.00977612229558628,-0.0365930482038197,-0.0377083352802617,0.0181560906890892,0
52.75,64.75,-0.00986876268495293,-0.0368913600771431,-0.0379743573723716,0.0182368320024657,0
53,64.75,-0.00994483834764361,-0.0371420894316895,-0.0381884236872753,0.0182987469919881,0
53.25,64.75,-0.00989948315893134,-0.0370756431524866,-0.0379547379640637,0.018155771646201,0
53.5,64.75,-0.00982285215622128,-0.0369189852315723,-0.0376231193621404,0.0179774150496978,0
53.75,64.75,-0.00970547562932212,-0.0366448347175021,-0.0371607864793538,0.0177498352207096,0
54,64.75,-0.00953799681642134,-0.0362262274811883,-0.0365351954373489,0.0174592018045062,0
54.25,64.75,-0.00906739320966695,-0.0349510610777168,-0.0348592315391666,0.0167244451198327,0
54.5,64.75,-0.00852973612019435,-0.0334824912453436,-0.0329643511376054,0.0159048788972167,0
54.75,64.75,-0.00791638459467057,-0.0317956967050623,-0.0308207275198634,0.0149879583305223,0
55,64.75,-0.00722026076111947,-0.0298703435387634,-0.0284031804812265,0.0139626589589875,0
55.25,64.75,-0.00643216517182444,-0.0276811960822473,-0.0256807208854492,0.0128163905418004,0
55.5,64.75,-0.00555240285545423,-0.0252278808188711,-0.0226513060841083,0.0115465003731999,0
55.75,64.75,-0.00458305327557293,-0.0225160841109637,-0.0193236603730978,0.010157553821952,0
56,64.75,-0.00353323748840859,-0.019571677298065,-0.0157378547954236,0.00867137981860644,0
56.25,64.75,-0.00241731729324348,-0.0164357950828848,-0.0119699450096801,0.00713531042319317,0
56.5,64.75,-0.0012509597725825,-0.01315339980751,-0.00815071424852275,0.00564879470335775,0
56.75,64.75,-5.07425798721601e-05,-0.00977213255254991,-0.00460660620096599,0.00450512104122167,0
57,64.75,0.00116469314198359,-0.00634544003174021,-0.00238147622541646,0.00471086250938364,0
57.25,64.75,0.00237429134982554,-0.0029334711505031,-0.00250297769871968,0.00725156039837077,0
57.5,64.75,0.00355733156615037,0.000404589218620754,-0.00377671595126231,0.0108913790835631,0
57.75,64.75,0.00469441505932321,0.00361334552700929,-0.00534077625685297,0.0147296063754994,0
58,64.75,0.00576709712428057,0.0066402316457618,-0.00694209771063901,0.0184762919592002,0
58.25,64.75,0.00675736217519178,0.00943403690231126,-0.00848245965220734,0.0219971840025909,0
58.5,64.75,0.00764826042495724,0.0119465663937067,-0.00990660094174388,0.0252031217916584,0
58.75,64.75,0.00842847453767147,0.0141459882860655,-0.0111837573150553,0.0280407063903982,0
59,64.75,0.00909443611878122,0.0160226331779727,-0.0123019503710959,0.0304908226086583,0
59.25,64.75,0.00964811276325966,0.0175824116976948,-0.0132600756289609,0.0325563011554802,0
59.5,64.75,0.0100969450536649,0.0188466459256237,-0.0140682801749951,0.0342621702823248,0
59.75,64.75,0.010450044251263,0.0198412207290338,-0.0147398871011652,0.0356399756036911,0
60,64.75,0.0107182149132418,0.0205966935120747,-0.0152913238361479,0.0367277536626315,0
60.25,64.75,0.0108331600870861,0.020925401428222,-0.0156089173246673,0.0372752374988396,0
60.5,64.75,0.0108838214343056,0.0210732749203453,-0.015837891240727,0.0376055341093382,0
60.75,64.75,0.0108817358263478,0.0210728508505095,-0.0159965716683693,0.037760043321065,0
61,64.75,0.0108384999690982,0.020956834089835,-0.0161031675024719,0.0377801674406683,0
61.25,64.75,0.0106450547778539,0.0204140270920083,-0.015947811605548,0.0372379211612558,0
61.5,64.75,0.0104295325374977,0.0198091603925296,-0.0157623742744366,0.0366214393494319,0
