"","sexfemale","race3black","race3other","hispyes","educ4hs_ged","educ4some_col","educ4college","smoke3former","smoke3current","hibpe","hearte","shlt_poor","log_wealth"
"FPC1",0,0,0,0,0,0,0,0,0,0,0,0,0
"FPC2",0,0,0,0,0,0,0,0,0,0,0,0,0
