"","sexfemale","race3black","race3other","hispyes","educ4hs_ged","educ4some_col","educ4college","smoke3former","smoke3current","hibpe","hearte","shlt_poor","log_wealth"
"FPC1",0.0132,-0.1659,0.0173,-0.0337,-0.0135,0.0019,0.0982,-0.0586,0.1332,-0.2623,-0.0675,-0.1687,0.1227
"FPC2",-0.0414,0.0286,0.0152,0.0377,-0.0205,-0.0034,-0.0075,-0.0106,-0.0455,0.0452,-0.0176,-0.0073,-0.0254
