"","sexfemale","race3black","race3other","hispyes","educ4hs_ged","educ4some_col","educ4college","smoke3former","smoke3current","hibpe","hearte","shlt_poor","log_wealth"
"FPC1",0.0138,-0.1534,0.0181,-0.0482,-0.0159,-0.0134,0.0923,-0.0728,0.1333,-0.2376,-0.0432,-0.1226,0.1226
"FPC2",-0.0323,0.0562,0.0232,0.0414,-0.0302,0.0058,0.0119,6e-04,-0.0152,0.0378,-0.0082,0.0648,-0.0523
