"variable","level","summary"
"baseline_age","mean (sd)","53.49 (0.61)"
"sex","male","2181 (39.8%)"
"sex","female","3302 (60.2%)"
"race3","white","4422 (80.6%)"
"race3","black","776 (14.2%)"
"race3","other","285 (5.2%)"
"hisp","no","4990 (91%)"
"hisp","yes","493 (9%)"
"educ4","lt_hs","1083 (19.8%)"
"educ4","hs_ged","1644 (30%)"
"educ4","some_col","1393 (25.4%)"
"educ4","college","1363 (24.9%)"
"smoke3","never","2322 (42.3%)"
"smoke3","former","1884 (34.4%)"
"smoke3","current","1277 (23.3%)"
"hibpe","0","4027 (73.4%)"
"hibpe","1","1456 (26.6%)"
"hearte","0","5146 (93.9%)"
"hearte","1","337 (6.1%)"
"shlt_poor","0","4708 (85.9%)"
"shlt_poor","1","775 (14.1%)"
"log_wealth","mean (sd)","10.91 (3.47)"
"hacohort","mean (sd)","3.8 (0.99)"
